img.path,H.mode,H.std,S.mode,S.std,V.mode,V.std
../clean_imgs/playboy_imgs/Playboy - 1953 - cover.jpeg,78,0.00373490573838,252,0.0100482814014,251,0.0115295723081
../clean_imgs/playboy_imgs/Playboy - 1954-01 - cover.jpeg,129,0.00334591674618,244,0.00351903075352,249,0.00399168767035
../clean_imgs/playboy_imgs/Playboy - 1954-02 - cover.jpeg,1,0.0120495129377,1,0.00701466947794,1,0.0076465876773
../clean_imgs/playboy_imgs/Playboy - 1954-03 - cover.jpeg,31,0.011849633418,88,0.0103564141318,184,0.0109740933403
../clean_imgs/playboy_imgs/Playboy - 1954-04 - cover.jpeg,173,0.00338260014541,234,0.00407755794004,231,0.00420944020152
../clean_imgs/playboy_imgs/Playboy - 1954-05 - cover.jpeg,101,0.0035420586355,154,0.00371561478823,141,0.00399585347623
../clean_imgs/playboy_imgs/Playboy - 1954-06 - cover.jpeg,102,0.00601858180016,60,0.0056921178475,55,0.00610423227772
../clean_imgs/playboy_imgs/Playboy - 1954-07 - cover.jpeg,114,0.0114382663742,202,0.00741255190223,234,0.00884962454438
../clean_imgs/playboy_imgs/Playboy - 1954-08 - cover.jpeg,73,0.00634946255013,197,0.00903869885951,253,0.00899320282042
../clean_imgs/playboy_imgs/Playboy - 1954-09 - cover.jpeg,44,0.00462651252747,242,0.00570222176611,245,0.00550743704662
../clean_imgs/playboy_imgs/Playboy - 1954-10 - cover.jpeg,6,0.00586472311988,242,0.0159727409482,239,0.0165132340044
../clean_imgs/playboy_imgs/Playboy - 1954-11 - cover.jpeg,3,0.00841434020549,2,0.0111807053909,26,0.0044301636517
../clean_imgs/playboy_imgs/Playboy - 1954-12 - cover.jpeg,113,0.00239361519925,149,0.00246418011375,155,0.00287512666546
../clean_imgs/playboy_imgs/Playboy - 1955-01 - cover.jpeg,74,0.00276803830639,250,0.00627594441175,251,0.00779211893678
../clean_imgs/playboy_imgs/Playboy - 1955-02 - cover.jpeg,89,0.00362008437514,228,0.0077803414315,231,0.00754063995555
../clean_imgs/playboy_imgs/Playboy - 1955-04 - cover.jpeg,62,0.00752719584852,132,0.00477413414046,191,0.00647193053737
../clean_imgs/playboy_imgs/Playboy - 1955-05 - cover.jpeg,37,0.0067233000882,13,0.00471861753613,7,0.00429352093488
../clean_imgs/playboy_imgs/Playboy - 1955-06 - cover.jpeg,125,0.002931735944,41,0.00293047726154,143,0.00396554730833
../clean_imgs/playboy_imgs/Playboy - 1955-07 - cover.jpeg,109,0.00582741107792,196,0.00277938460931,207,0.00491877412423
../clean_imgs/playboy_imgs/Playboy - 1955-08 - cover.jpeg,148,0.0048220413737,136,0.00403717858717,128,0.00385451712646
../clean_imgs/playboy_imgs/Playboy - 1955-09 - cover.jpeg,170,0.00727422721684,195,0.0070660430938,201,0.00711201690137
../clean_imgs/playboy_imgs/Playboy - 1955-10 - cover.jpeg,75,0.0026636722032,255,0.00244910921901,255,0.00289541715756
../clean_imgs/playboy_imgs/Playboy - 1955-11 - cover.jpeg,43,0.00489023560658,45,0.00404250528663,255,0.00359612866305
../clean_imgs/playboy_imgs/Playboy - 1955-12 - cover.jpeg,91,0.00271412963048,49,0.00260691833682,151,0.00264100241475
../clean_imgs/playboy_imgs/Playboy - 1956-01 - cover.jpeg,55,0.00300611089915,219,0.00475132931024,224,0.00528869591653
../clean_imgs/playboy_imgs/Playboy - 1956-02 - cover.jpeg,111,0.00472523458302,73,0.00349879614078,65,0.00313208415173
../clean_imgs/playboy_imgs/Playboy - 1956-03 - cover.jpeg,71,0.00463834218681,48,0.00398111669347,47,0.00372440204956
../clean_imgs/playboy_imgs/Playboy - 1956-04 - cover.jpeg,17,0.0141947604716,234,0.011014145799,242,0.0108503671363
../clean_imgs/playboy_imgs/Playboy - 1956-05 - cover.jpeg,54,0.00314533244818,254,0.00345903332345,190,0.00351870898157
../clean_imgs/playboy_imgs/Playboy - 1956-06 - cover.jpeg,133,0.00507894996554,98,0.00441412534565,82,0.00350724696182
../clean_imgs/playboy_imgs/Playboy - 1956-07 - cover.jpeg,60,0.0061561781913,43,0.00485352007672,141,0.00410221377388
../clean_imgs/playboy_imgs/Playboy - 1956-08 - cover.jpeg,164,0.00454477127641,190,0.00353680946864,205,0.00438305782154
../clean_imgs/playboy_imgs/Playboy - 1956-09 - cover.jpeg,48,0.00428770389408,34,0.00348048657179,40,0.00336753181182
../clean_imgs/playboy_imgs/Playboy - 1956-10 - cover.jpeg,178,0.00457507371902,208,0.0062085618265,211,0.00668837642297
../clean_imgs/playboy_imgs/Playboy - 1956-11 - cover.jpeg,38,0.00332837062888,175,0.00355320237577,170,0.00303576211445
../clean_imgs/playboy_imgs/Playboy - 1956-12 - cover.jpeg,36,0.00386364478618,248,0.00917736254632,253,0.0115276817232
../clean_imgs/playboy_imgs/Playboy - 1957-01 - cover.jpeg,37,0.0061822864227,26,0.00529172318056,219,0.00553484773263
../clean_imgs/playboy_imgs/Playboy - 1957-02 - cover.jpeg,3,0.0157249774784,32,0.00928685534745,192,0.0107388580218
../clean_imgs/playboy_imgs/Playboy - 1957-03 - cover.jpeg,17,0.00373181537725,5,0.00440393853933,3,0.00474177673459
../clean_imgs/playboy_imgs/Playboy - 1957-04 - cover.jpeg,119,0.00474085705355,2,0.00513137644157,207,0.00457330886275
../clean_imgs/playboy_imgs/Playboy - 1957-05 - cover.jpeg,163,0.00285416538827,232,0.00312585593201,234,0.00276888231747
../clean_imgs/playboy_imgs/Playboy - 1957-06 - cover.jpeg,33,0.012122024782,255,0.029169248417,253,0.0340575873852
../clean_imgs/playboy_imgs/Playboy - 1957-07 - cover.jpeg,155,0.00346227968112,167,0.00332602392882,193,0.00414768839255
../clean_imgs/playboy_imgs/Playboy - 1957-08 - cover.jpeg,142,0.00477477023378,141,0.00356913730502,119,0.00315293809399
../clean_imgs/playboy_imgs/Playboy - 1957-09 - cover.jpeg,99,0.00694421911612,47,0.00619960995391,163,0.00713415071368
../clean_imgs/playboy_imgs/Playboy - 1957-10 - cover.jpeg,39,0.00698814215139,39,0.0069762035273,49,0.00587496766821
